,description
120,12强赛球迷热情加油，多自称台湾而非中华台北。（资料照，记者林正?摄）〔即时新闻／综合报导〕世界12强棒球赛国人关注，台湾以「台湾队」或「中华台北队」的名称出赛，也常引起讨论。媒体人锺年晃指出，美、韩、墨等国在网站或电视转播，都写台湾（Taiwan），而不是中华台北（Chinese Taipei），
121,时代剧像是河流，将我们往过去推送。不小心深陷其中，开心的、伤心地都跟著剧情走！
122,"八仙乐园粉尘气爆伤者中，家住台南的黄姓男子被送到高雄海总医院烧烫伤中心，全身百分五十灼伤的他正准备要买房、完成终身大事，而在意外发生时，他还让救护车先送其他伤患，忍痛撑了3小时才送医，让黄母十分不舍。(八仙乐园,尘爆,彩色派对,吕忠吉)"
123,
124,台湾过去这十多年，一直以偶像剧挂帅，虽文化部补助各电视台或制作单位辅导金，期望台湾也能拍出如韩剧「大长今」般的大制作多元...
125,观看 Yahoo奇摩名人娱乐网上的影视【大首播】公视《一把青》第一集完整版抢先看. 公视最新力作《一把青》由杨一展、杨谨华、蓝钧天、天心、吴慷仁、连俞涵、锺承翰、温贞菱、领衔主演。 本剧故事描写于1945年到1971年间，从二战结束、国共内战到后来中国国民党政府流亡台湾，那个「消灭万恶共匪、解救大陆同胞」及「汉贼不两立」的反攻大陆口号喊得震天价响的动荡不安年代，空军飞官及其眷属几段被战火无情摧逼，生死两隔的故事。 12/19起，每周六晚上9点到11点于公视播出（影片来源／公共电视） 相关影音： 《一把青》片头曲：看淡（Hebe田馥甄演唱）
126,40岁通告艺人马国毕2013年5月因欠4千万元赌债，跟老婆Joanne结束2年多婚姻，为了还债，近年来他靠著打工、开计程车当司机...
127,没有想到与圣诞节比较难联想在一起的医院，竟然能有这么多的创意圣诞装饰品......
128,公视《一把青》总预算达1亿8千万元，导演曹瑞原昨天在「累积450个便当的一把青」座谈会上，聊到募资的艰辛，忍不住泪洒当场，「我痛苦，因为找不
129,林智胜今天台古战证明，台湾职棒年度MVP不是好惹的！第8局石破天惊…
130,（中央社记者顾荃台北1日电）台北市政府卫生局健康管理处长林梦蕙今天表示，因应台北市长柯文哲禁菸政策，卫生局拟定「商圈禁菸计划」，初步规划西门町与信义商圈试办 ...
131,
132,《麻醉风暴》（Wake Up） 公视2015/4/25起 每周六晚间9点 导演：萧力修 领衔主演：黄健玮、吴慷仁、许玮甯、黄仲崑 演出：谢盈萱、王自强、马力欧、许时豪、叶星辰、王淮仲 麻醉脸书 https://www.facebook.com/PTSWAKEUP 公视官网 http://www.pts.org.t...
133,世界棒球12强赛预赛、复赛日前在台湾举办，集结日职各队主将的日本武士队打出六战全胜之姿挺进四强。球星们也利用在台空档逛夜市，松田宣浩等人玩兴大发，玩起砸气球游戏，居然玩到破台，全程都被拍下来放到脸书，可惜的是老板有眼不识泰山，白白浪费了签名合照的机会。
134,就在台湾要选出下一任总统大选的前夕，一出以「228事件」、「美丽岛事件」为剧情时空背景的电视剧《灿烂时光》正在公视频道播出。台湾电视从来不缺各种政论节目，但很少有戏剧题材愿意去碰触曾发生在这块土地上的政治事件，导演郑文堂以独立制片的精神，完成了这样的挑战。
135,今天就是圣诞节，桃园一间医院摆脱了以往冰冷的刻板印象，特别帮新生儿盖上应景的圣诞被及圣诞帽，瞬间变身为「圣诞宝宝」。医院变不但变得更加温馨，也充满著浓浓的圣诞气息。
136,一踏入发廊包厢，天心立刻拉著采访编辑到身旁坐下，还来不及回神，天心已经开始滔滔不绝地分享故事，清晰明快的语调、加上丰富的手势表情，一时间真有种《一把青》...
137,
138,中华队在这次世界棒球12强赛未能晋级，总教练郭泰源成为部分网友口中的战犯之一。不过，即将返回日本工作的阳岱钢今天下午在脸书发文力挺郭说，他一直都想当郭总的选手，在日本没机会，在国际赛实现了。「郭总有他的能耐让选手信服，打不好是技不如人，赢一场比赛就松懈是最大问题，全队也在检讨中学习，不会让郭总扛，他已经一个人扛下整个台湾还要扛什么？我相信成为郭总的选手是每位队友的荣誉」。
139,时代力量立委候选人、同时也是闪灵乐团主唱林昶佐昨（26）日晚间在自由广场举办演唱会。英国卫报（The Guardian）以《台湾的重金属摇滚明星前进国会！》为题报导此事，也讚誉闪灵乐团为「东方黑色安息日」，指出闪灵乐团的音乐交织著传统的台湾乐曲、台语，以及台湾主权独立的意识在其中。根据《卫报》报导，他们将闪灵乐团成军20周年演唱会称为「2015台湾重金属乐迷最期待的年度盛事」，也道出这场「镇魂护国演唱会」同时也是主唱林昶佐投身国会议员选战的造势晚会，他们更将闪灵乐团比做「东方黑色安息日」，黑色安息日（Black Sabbath）为英国知名重金属乐团，被奉为金属界的经典。
140,父丧仍集训上场　县长ＰＯ文为台湾投手加油（翻摄自脸书）〔记者邱芷柔／屏东报导〕第1届世界棒球12强赛，12支劲旅今天会师台湾，地主中华队晚间6时30分首战荷兰，来自屏东万峦的台湾队投手潘威伦在第三局时接手，屏东县长潘孟安特别在脸书上留言「威伦，天上的父亲会以你为傲」。台湾投手潘威伦的父亲潘荣信，曾担
141,歌手林俊杰日前与友人在信义区逛街，现场刚好有街头艺人在演唱他的歌曲，一时兴起上前合唱，引发现场一阵骚动，路人纷纷拿起手机拍摄，意外遇到野生林俊杰一饱耳福，真是太lucky！
